"EnsemblID"	"ggo_br_F_1"	"ggo_br_M_1"	"hsa_br_F_1"	"hsa_br_M_2"	"hsa_br_M_3"	"mml_br_F_1"	"mml_br_M_1"	"mml_br_M_2"	"ppa_br_F_1"	"ppa_br_F_2"	"ppa_br_M_1"	"ppy_br_F_1"	"ppy_br_M_1"	"ptr_br_F_1"	"ptr_br_M_1"	"ptr_br_M_2"	"ptr_br_M_3"	"ptr_br_M_4"	"ptr_br_M_5"
"ENSG00000000003"	"4.26229338"	"4.174381098"	"2.719904082"	"3.28937416"	"2.199308025"	"3.07636414"	"2.89226863"	"3.799804549"	"1.585597712"	"3.939315885"	"4.436172361"	"2.846595114"	"0.921816561"	"3.371957566"	"2.953072515"	"2.166334945"	"3.382556623"	"2.708790442"	"3.555531702"
"ENSG00000000419"	"4.842178428"	"4.111541734"	"4.975726477"	"5.247589583"	"3.280043223"	"4.691439253"	"4.770374504"	"4.094862144"	"4.83837125"	"4.126940157"	"5.167284687"	"4.830686697"	"3.995553874"	"3.93376551"	"3.713546565"	"4.024230865"	"4.474306527"	"4.935833134"	"4.641360877"
"ENSG00000000457"	"2.733269779"	"2.11984917"	"2.245699518"	"2.560622057"	"1.666474887"	"3.427338002"	"3.524778338"	"2.771420911"	"2.184749991"	"2.267942168"	"3.366332372"	"2.363386524"	"1.858163168"	"2.783841858"	"1.599134478"	"1.255590652"	"1.870647379"	"2.649675136"	"2.243319814"
"ENSG00000000938"	"2.359429239"	"2.781061037"	"1.991288765"	"1.867706767"	"2.753187348"	"3.010176519"	"2.105604366"	"1.839619217"	"4.911725057"	"3.412863054"	"2.057976157"	"2.697215098"	"0.094270323"	"2.055157921"	"3.549752006"	"1.105718084"	"2.002972442"	"1.210737725"	"1.447904711"
"ENSG00000008118"	"4.10988518"	"3.723228942"	"5.92878957"	"6.894454014"	"6.069607659"	"5.840307125"	"6.152343667"	"3.670425636"	"4.190083921"	"1.356019377"	"4.30529553"	"4.134102429"	"3.208849596"	"4.123667459"	"3.941058348"	"2.583718087"	"2.515452726"	"3.567014413"	"3.419308247"
"ENSG00000010278"	"5.753886541"	"6.59380289"	"7.739348581"	"6.746541194"	"8.091683969"	"5.553701478"	"6.163156537"	"4.983242145"	"5.518592097"	"6.294124735"	"5.878001283"	"4.831759342"	"4.852783778"	"6.179961037"	"5.669885553"	"6.259333793"	"6.713635961"	"5.830288265"	"6.805178386"
"ENSG00000010282"	"2.937308646"	"3.260593078"	"6.79146247"	"5.72519582"	"7.907906136"	"5.917240786"	"5.573607809"	"4.437954504"	"2.104888779"	"3.65766124"	"3.559820599"	"2.754841318"	"1.861171466"	"3.563996569"	"3.554068955"	"2.002398682"	"2.629412933"	"3.139788592"	"3.214712539"
"ENSG00000011332"	"4.532387693"	"4.295835542"	"6.567358347"	"6.51357286"	"5.989384283"	"6.527839786"	"6.342647188"	"4.842096178"	"5.93491473"	"3.887251669"	"4.431111303"	"4.426494113"	"4.471555374"	"5.248795705"	"5.051056138"	"3.882042087"	"4.287656665"	"4.875560375"	"4.650920311"
"ENSG00000102901"	"3.494417249"	"4.381331943"	"5.734809863"	"5.538196697"	"5.858005871"	"1.954348986"	"1.423233981"	"4.690098695"	"4.488934668"	"3.802013727"	"2.155491826"	"4.544795732"	"4.188458363"	"4.453025158"	"3.763903984"	"3.108682787"	"3.130607926"	"3.55597434"	"3.64279635"
"ENSG00000145721"	"2.345197085"	"1.95935093"	"4.560439844"	"4.334632636"	"3.416812738"	"2.31831687"	"1.894755729"	"4.156334687"	"2.567664562"	"1.794810648"	"2.591228008"	"1.287053737"	"1.431209794"	"1.703890069"	"0.861540763"	"1.5124395"	"1.274822289"	"1.036557889"	"1.871751543"
