"Gene_ID"	"gene_number"	"gene_name"	"chromosome"	"percent.divergent"	"BayesianPostProbofDivergence"	"foldSD"	"MedianAncHominini"	"MedianAncHomo"
"1"	"ENSG00000025434"	37	"NR1H3"	"11"	0.794	0.951	1.69411335423812	3.2333308487435	4.0154057841275
"2"	"ENSG00000073536"	101	"NLE1"	"17"	0.915	0.992	1.89987848742058	5.2142503520845	3.307212583558
"3"	"ENSG00000078967"	119	"UBE2D4"	"7"	0.839	0.967	1.89958775414256	7.1095194545655	5.8322427335365
"4"	"ENSG00000115934"	176	"RP11-153K16.2"	"12"	0.808	0.95	1.69334786970167	1.7598610189935	2.979935929771
"5"	"ENSG00000116221"	217	"MRPL37"	"1"	0.815	0.963	2.07694712940591	10.852207481329	8.6820994663725
"6"	"ENSG00000117419"	340	"ERI3"	"1"	0.815	0.96	1.81391399226347	11.9980563234035	13.8087053296065
"7"	"ENSG00000141979"	571	"CTD-3222D19.2"	"19"	0.969	0.995	1.9312782634613	1.144952687808	2.606292494218
"8"	"ENSG00000142230"	590	"SAE1"	"19"	0.679	0.913	1.20935878765162	14.385540502868	12.10223311503
"9"	"ENSG00000142279"	594	"WTIP"	"19"	0.794	0.95	1.90500891434258	5.2432288714475	3.7366489021665
"10"	"ENSG00000143450"	736	"OAZ3"	"1"	0.834	0.955	2.78132264491677	2.8744298599755	3.7757192416055
"11"	"ENSG00000152137"	748	"HSPB8"	"12"	0.761	0.926	2.04631468617033	9.2012296735465	11.0801373458835
"12"	"ENSG00000153404"	759	"PLEKHG4B"	"5"	0.95	0.996	2.97239335997413	1.635871600007	0.5135701855
"13"	"ENSG00000158850"	841	"B4GALT3"	"1"	0.001	0.917	0.0324857903285317	6.934977158025	6.1756588071355
"14"	"ENSG00000161654"	884	"LSM12"	"17"	0.72	0.93	1.22247262246637	6.7717496419045	5.602955569119
"15"	"ENSG00000161888"	898	"SPC24"	"19"	0.685	0.916	1.48333696694979	1.6042504239255	1.0544919789105
"16"	"ENSG00000161980"	909	"POLR3K"	"16"	0.69	0.914	1.45694612785101	7.4584001569715	6.025445166233
"17"	"ENSG00000163633"	1028	"C4orf36"	"4"	0.738	0.914	2.28157875331783	1.4482710544225	1.89542690614
"18"	"ENSG00000171142"	1074	"JAGN1"	"3"	0.727	0.93	1.538306712867	1.300678934012	1.92320611546
"19"	"ENSG00000176769"	1132	"TCERG1L"	"10"	0.666	0.909	1.458314887303	3.4909662909755	2.330156673978
"20"	"ENSG00000177932"	1139	"ZNF354C"	"5"	0.728	0.936	1.12161521001432	3.06183488724	4.3893017740135
"21"	"ENSG00000183093"	1180	"BEGAIN"	"14"	0.717	0.932	1.36828737599696	8.733969896571	6.573682777704
"22"	"ENSG00000196372"	1272	"ASB13"	"10"	0.723	0.925	2.25603294841684	7.653894912539	6.556984971217
"23"	"ENSG00000049167"	1392	"ERCC8"	"5"	0.001	0.946	0.0762168018958187	2.466420446508	1.8178518928725
"24"	"ENSG00000114735"	1479	"HEMK1"	"3"	0.783	0.945	1.40691266760445	2.954305333904	4.1577561617905
"25"	"ENSG00000115266"	1544	"APC2"	"19"	0.69	0.915	1.25958235012954	9.298713307478	11.6971777691595
"26"	"ENSG00000115271"	1546	"GCA"	"2"	0.694	0.919	1.111334955491	5.486584925196	7.3496506598335
"27"	"ENSG00000115289"	1549	"PCGF1"	"2"	0.701	0.909	1.77198828148883	6.036511786086	5.4996611745595
"28"	"ENSG00000115425"	1573	"PECR"	"2"	0.803	0.958	1.60048773490988	3.621763714096	2.50124927298
"29"	"ENSG00000115457"	1575	"IGFBP2"	"2"	0.686	0.915	1.31595410451035	8.6873467609215	6.1649001853945
"30"	"ENSG00000117748"	1626	"RPA2"	"1"	0.804	0.957	1.57455584331029	5.880235540836	7.206120634353
"31"	"ENSG00000119636"	1646	"BBOF1"	"14"	0.75	0.939	1.09345150757633	4.5360125324425	6.936172652604
"32"	"ENSG00000119650"	1648	"IFT43"	"14"	0.663	0.908	1.84693826090095	6.4443284114115	5.8235837404075
"33"	"ENSG00000135637"	1732	"CCDC142"	"2"	0.698	0.922	1.53260566358196	3.7627728997205	5.219078229756
"34"	"ENSG00000136156"	1746	"ITM2B"	"13"	0.667	0.912	1.15861290818325	21.9025017565465	25.2071564555115
"35"	"ENSG00000136371"	1761	"MTHFS"	"15"	0.752	0.943	1.61727567068548	2.9659344798455	3.774661747756
"36"	"ENSG00000138092"	1802	"CENPO"	"2"	0.876	0.962	3.39332603063607	5.442205817443	6.3987151887785
"37"	"ENSG00000151690"	1905	"MFSD6"	"2"	0.651	0.909	1.14325189984395	8.0921019795155	9.449269207083
"38"	"ENSG00000157350"	1947	"ST3GAL2"	"16"	0.67	0.912	1.55308277426023	5.4850574935945	4.423668118294
"39"	"ENSG00000162639"	1969	"HENMT1"	"1"	0.698	0.925	1.31780471981269	3.10997005208	4.2430282645115
"40"	"ENSG00000187037"	2162	"GPR141"	"7"	0.715	0.924	1.15353620715378	2.164253219321	4.1247412623475
"41"	"ENSG00000213246"	2223	"SUPT4H1"	"17"	0.674	0.91	1.23728867742581	9.8157584797775	8.703765004687
"42"	"ENSG00000010244"	2234	"ZNF207"	"17"	0.737	0.92	1.92576427495774	8.415466766336	9.5487852279075
